"category_name","user_count","user_penetration_rate","order_count","order_penetration_rate","total_gmv","gmv_ratio","aov","freight_ratio","avg_review_score"
"watches_gifts","19","0.1681","39","0.097","9728.16","0.1749","249.44","0.0889","4"
"bed_bath_table","30","0.2655","53","0.1318","6586.46","0.1184","124.27","0.2001","4.46"
"telephony","7","0.0619","10","0.0249","4253.82","0.0765","425.38","0.1551","4.6"
"sports_leisure","22","0.1947","43","0.107","4147.7","0.0746","96.46","0.1693","4.73"
"housewares","22","0.1947","29","0.0721","3539.04","0.0636","122.04","0.1895","4.69"
"health_beauty","14","0.1239","25","0.0622","3450.26","0.062","138.01","0.1483","4.76"
"fashion_bags_accessories","16","0.1416","25","0.0622","3277.92","0.0589","131.12","0.1719","4.6"
"toys","9","0.0796","24","0.0597","3025.33","0.0544","126.06","0.2086","4.33"
"furniture_decor","19","0.1681","27","0.0672","2455.4","0.0441","90.94","0.2549","4.26"
"computers_accessories","11","0.0973","17","0.0423","2236.32","0.0402","131.55","0.1835","4.15"
"cool_stuff","5","0.0442","8","0.0199","1906.26","0.0343","238.28","0.2101","4.75"
"garden_tools","11","0.0973","14","0.0348","1648.89","0.0296","117.78","0.2001","4.79"
"auto","8","0.0708","10","0.0249","1114.51","0.02","111.45","0.1853","5"
"pet_shop","6","0.0531","6","0.0149","1060.26","0.0191","176.71","0.1459","4.83"
"luggage_accessories","6","0.0531","7","0.0174","819.57","0.0147","117.08","0.3641","3.71"
"home_appliances","6","0.0531","13","0.0323","636.1","0.0114","48.93","0.4479","3.85"
"baby","4","0.0354","6","0.0149","608","0.0109","101.33","0.2352","3.67"
"unknown","8","0.0708","8","0.0199","477.8","0.0086","59.73","0.3414","4.38"
"stationery","6","0.0531","6","0.0149","418.19","0.0075","69.7","0.3232","4.83"
"perfumery","3","0.0265","5","0.0124","406.1","0.0073","81.22","0.173","4.4"
"kitchen_dining_laundry_garden_furniture","3","0.0265","3","0.0075","352.8","0.0063","117.6","0.4265","5"
"furniture_living_room","2","0.0177","3","0.0075","337.84","0.0061","112.61","0.3383","4.33"
"air_conditioning","2","0.0177","2","0.005","318.99","0.0057","159.5","0.1256","5"
"home_construction","1","0.0088","1","0.0025","269.7","0.0048","269.7","0.0593","5"
"signaling_and_security","2","0.0177","2","0.005","247.5","0.0044","123.75","0.543","4"
"food_drink","5","0.0442","5","0.0124","244.78","0.0044","48.96","0.2817","4.7"
"drinks","4","0.0354","4","0.01","232.99","0.0042","58.25","0.5373","4.75"
"construction_tools_lights","1","0.0088","1","0.0025","230","0.0041","230","0.1336","5"
"la_cuisine","1","0.0088","1","0.0025","193","0.0035","193","0.2031","5"
"furniture_bedroom","1","0.0088","1","0.0025","169","0.003","169","0.1659","5"
"fashion_shoes","1","0.0088","1","0.0025","157.9","0.0028","157.9","0.114","2"
"dvds_blu_ray","1","0.0088","1","0.0025","149","0.0027","149","0.1565","5"
"arts_and_craftmanship","1","0.0088","1","0.0025","129.9","0.0023","129.9","0.1206","5"
"fashio_female_clothing","1","0.0088","1","0.0025","119.96","0.0022","119.96","0.2881","4"
"audio","1","0.0088","1","0.0025","119.9","0.0022","119.9","0.1441","2"
"industry_commerce_and_business","1","0.0088","1","0.0025","117","0.0021","117","0.2019","5"
"food","1","0.0088","1","0.0025","89.9","0.0016","89.9","0.4151","2"
"home_confort","1","0.0088","1","0.0025","86.9","0.0016","86.9","0.1573","4"
"construction_tools_construction","2","0.0177","2","0.005","81.5","0.0015","40.75","0.6573","5"
"tablets_printing_image","1","0.0088","1","0.0025","52","0.0009","52","0.1677","5"
"consoles_games","1","0.0088","1","0.0025","43.2","0.0008","43.2","0.1958","5"
"fashion_sport","1","0.0088","1","0.0025","24.99","0.0004","24.99","0.5642","5"
"costruction_tools_tools","1","0.0088","1","0.0025","23.4","0.0004","23.4","0.6521","5"
"party_supplies","1","0.0088","1","0.0025","21.9","0.0004","21.9","0.7667","5"
"christmas_supplies","1","0.0088","1","0.0025","19.83","0.0004","19.83","0.6455","5"
