"customer_state","order_count","avg_total_delivery_days","avg_carrier_delivery_days","delivery_delay_rate","avg_review_score"
"RR","41","27.83","24.15","0.1087","3.89"
"AP","67","27.75","24.15","0.0494","4.26"
"AM","145","25.96","23.07","0.0429","4.11"
"AL","396","23.94","20.3","0.2394","3.83"
"PA","941","23.37","19.9","0.1251","3.84"
"MA","714","21.25","17.38","0.2045","3.76"
"SE","335","20.98","17.34","0.1627","3.9"
"CE","1268","20.61","17.22","0.1544","3.87"
"AC","79","20.26","16.83","0.0333","4.16"
"PB","514","20.14","16.48","0.1123","4.06"
"RO","243","19.28","16.45","0.0403","4.07"
"PI","475","18.95","15.71","0.1552","3.96"
"RN","474","18.87","15.22","0.1036","4.11"
"BA","3240","18.81","15.42","0.1373","3.86"
"PE","1582","17.84","14.53","0.1026","4.02"
"MT","880","17.54","14.36","0.0679","4"
"TO","273","17.02","13.58","0.123","4.16"
"ES","1986","15.21","11.76","0.1227","4.01"
"MS","699","15.12","11.89","0.1088","4.06"
"GO","1943","14.96","11.84","0.0783","4.04"
"RS","5317","14.73","11.46","0.0692","4.09"
"RJ","12297","14.72","11.34","0.1303","3.87"
"SC","3535","14.52","11.11","0.0964","4.05"
"DF","2069","12.52","9.24","0.0747","4.06"
"MG","11308","11.53","8.27","0.0546","4.12"
"PR","4893","11.51","8.18","0.0479","4.15"
"SP","40288","8.27","5.07","0.0579","4.18"
